id,slovak_name,english_name,latitude,longitude,venue,description_slovak,description_english,link
amur,Amur biely,Grass Carp,49.144518,20.979643,Štrkoviská Rožkovany,"Amur je rod rýb z čeľade kaprovité. Telo je podlhovasté, valcovitého tvaru. Hlavne mladšie jedince sú veľmi podobné jalcom. Hlava má široké a dlhé ploché čelo, veľmi nízko posadené oči. Chrbát je tmavozelený, boky zlatavé, brucho biele. Vo svojej domovine môže dosiahnuť dĺžky až 150 cm a hmotnosti 50 kg. V slovenských podmienkach je to však menej. Najväčší jedinci v našich vodách dorastajú dĺžky okolo 100 cm a hmotnosti 10 - 15 kg. Dožíva sa veku až 15 - 20 rokov.
","Grass Carp is a large member of the minnow family with a body which is moderately compressed laterally. Its mouth is terminally located on a wide head and eyes are small and low on the head. It lacks barbels. It is olive-brown on the dorsal side, with silver sides and a white belly. Scales are large with dark edging. The dorsal fin origin is anterior to the pelvic fin origin and it has a short caudal peduncle. It differs from goldfish (Carassius auratus) and common carp (Cyprinus carpio) in having a shorter dorsal fin (only 7-8 rays) and from Hypophthalmichthys species (Bighead and Silver carps) in having fewer anal rays (9 or fewer) and fewer but larger lateral scales.",https://www.youtube.com/watch?v=1DfZpnEFHKY
belicka,Belička európska,Common Bleak,49.099057,21.098195,Torysa č.3 - Sabinov,"Belička (Alburnus alburnus) patrí medzi kaprovité ryby. Má dlhé štíhle telo, z bokov sploštené. Hlava je malá, s výrazným okom, ústa môžu mať terminálne až vrchné postavenie. Šupiny sú menšie, ľahko opadavé. Análna plutva je dlhšia a dlhé sú aj prsné plutvy. Boky sú výrazne striebristé, chrbát je tmavší, plutvy sú sivé, no môžu byť aj mierne žltkasté.","The Bleak (Alburnus alburnus), is a small fish that resembles a Silver bream and Sardine. In Sweden, its roe is used as a kind of caviar. They are lively in the summer time and dash here and there in pursuit of Insects or Crustaceans. Bleak swim in huge shoals, usually in the surface and sub-surface layers and live in clean, slow moving rivers and streams. They form the staple diet of many freshwater predators.",https://www.youtube.com/watch?v=UDGfedjS0TM
bolen,Boleň dravý,Asp,49.279074,20.863672,Poprad č.2 - Orlov,"Boleň dravý je jeden z tunajších pôvodných druhov. Vyskytuje sa vo väčšej časti Európy. Jeho bežná dĺžka je okolo 40- 70 cm, no môže dorásť až do vyše jedného metra a hmotnosti okolo 10 kg. Jeho rast veľmi ovplyvňuje životné prostredie, obzvlášť množstvo potravy. V optimálnych podmienkach má 3 ročný boleň dravý okolo 40 centimetrov. Boleň sa priemerne dožíva cca 11 rokov, no môže žiť i viac než 15. Charakteristickým znakom bolenieho útoku a zároveň indikátorom jeho výskytu je hlučný šplechot na hladine. Takto sa predvádza keď je na love. Boleň dravý je pomerne rozšírený, a teda ho nájdeme na početných stojatých vodách i tokoch (samozrejme nie rýchlo prúdiace rieky, či horské potoky). V nádržiach sa zdržiava na voľnej vode (no loví spravidla v plytčinách), v tokoch hľadá útočisko skôr v zátokách so slabým prúdom. Svoje stanoviská mení i v závislosti na ročnom období, v zime sa sťahuje do hlbších vôd, kde prezimuje. Boleň je to jeden z druhov, ktoré si potrpia na čistotu vody. Mladšie jedince radi tvoria húfy, veľké kusy žijú samotársky.","The asp (Leuciscus aspius) is a European freshwater fish of the Cyprinid family. It is sometimes considered one of two members of the genus Aspius by some taxonomic authorities. It is protected under Appendix III of the Bern Convention and listed as least concern on the IUCN Red List. Normally, asps are between 10 and 80 cm in length, with some reaching 120 cm, and weighing up to 12 kg. They inhabit lakes and lower reaches of rivers and estuaries. In spring, in April–June, asps migrate from lakes to streams for spawning. Spawning is triggered by the rise in temperature and usually starts at 6 °C. The eggs attach to rocks, gravel, and water plants. After around two weeks, they hatch and the fry drift downstream to calmer waters.",https://www.youtube.com/watch?v=LzKRRYW5kd0
cervenica,Červenica ostrobruchá,Rudd,49.076250,21.111170,Štrkovisko Orkucany,"Červenica je typickou rybou zarastených rybníkov, tôní a odstavených riečnych ramien. Vyskytuje sa i v tečúcich vodách a plytkých údolných nádržiach. V niektorých menších tôňach sa môže stať dominantnou zložkou rybej osádky, ale na väčšine vôd je rozšírená menej než iné príbuzné druhy - napríklad plotica. Červenica je plotici v mnohom podobná. Dosahuje o niečo menších rozmerov, má vyššie ploché telo s typickým ostrým kýlom pred análnou plutvou, horné postavenie úst a predovšetkým žiarivo červené sfarbenie chvostovej, análnej a brušných plutiev. Farba šupín je na bokoch striebristá s výrazným perleťovým leskom a nádychom žltej a modrej farby, chrbát je zeleno sivý. Je druh s obľubou vytvárajúci húfy, ktoré sa voľne pohybujú vodným stĺpcom a často i v blízkosti hladiny. Potrava červenice je do istej miery unikátna, pretože zahrnuje možno najväčší podiel rastlinnej zložky zo všetkých našich pôvodných druhov rýb. Jedná sa o rôzne jemnolisté vodné rastliny a riasy.","Rudd, (Scardinius erythrophthalmus), stout-bodied freshwater sport fish of the carp family, Cyprinidae, similar to the related roach, but more golden, with yellow-orange eyes, deep red fins, and a sharp-edged belly. The rudd is widely distributed in Europe and Asia Minor and has been introduced into the United States, where it is called American, or pearl, roach. It is a schooling fish that frequents thickly planted, reedy lakes and slow rivers and eats plants, small animals, and insects. Maximum length and weight are about 35–40 centimetres (14–16 inches) and 1–2 kilograms (2–4 1/2 pounds).",https://www.youtube.com/watch?v=je4JW9AybUw
hlavatka,Hlavatka podunajská,Danube salmon,49.279074,20.863672,Poprad č.2 - Orlov,"Hlavátka podunajská je označovaná za kráľovnú našich vôd a to právom. Je jedným z najväčších sladkovodných dravcov a z hľadiska športového rybolovu je extrémne vysoko cenená. Čo sa týka jej geografického rozšírenia, ako jej geograficky neďalekú pravlasť označujeme stredné a horné povodie Dunaja, no tam sa už nevyskytuje. Bola vyhubená. V súčasnosti sa  hlavátka podunajská vyskytuje v Poľsku, na Balkáne v alpských krajinách i na Slovensku. Za hlavátkou prichádzajú ročne na naše územie desiatku cudzincov. „Hlavátkovým rajom"" kam za jej lovom vyrážajú vášniví rybári je však najmä Rusko a Mongolsko. Dorastá do rozmerov o dĺžke 1,3 m a hmotnosti 20 - 25 kg, vzácne do 1,8 m a 60 kg. Asi najväčšia slovenská hlavátka podunajská bola nájdená na rieke Hron po otrave v roku 1949- vážila 46 kg. Exempláre väčšie než 1 m sa môžu vyskytovať (a vyskytujú sa) aj na pomerne malých vodách, pre hlavátku je tam hlavným kritériom dostatok potravy a čistota vody. (Jednou z takýchto lokalít je napr. Turiec). Hlavátky rastú rýchlo a dožívajú sa aj 30 rokov.","The huchen is endemic to the Danube basin in Europe where the remaining population is threatened primarily by habitat fragmentation and loss through river impoundment and disruption of the longitudinal continuity of rivers, cutting away fish from its spawning grounds. Additionally, overfishing and fisheries mismanagement is still a problem in many areas, especially in the Balkans.",https://www.youtube.com/watch?v=MrU4KHpswKk
hruz,Hrúz škvrnitý,Gudgeon,49.017093,21.233473,Torysa č.2 - Prešov,"Hrúz je krátkoveká pomaly rastúca ryba len zriedkavo prekračujúca 6 rokov života a dĺžku 18 cm. S rastúcim vekom klesá v populácii podiel samcov, takže môžme predpokladať, že podobne ako u mreny sú najstaršie kusy samice. Napriek tomu, že v literatúre sa nikdy nestretneme s údajmi o hrúzoch nad 20 cm, sú také ryby nesmierne vzácne, ale i tak opakovane lovené a je pravdepodobné, že hrúz môže v extrémnych prípadoch prekročiť hranicu 25 cm. Úlovok takého jedinca má z vedeckého hľadiska väčšiu hodnotu než ulovenie dvojmetrového sumca, ale bohužiaľ sa evidenciou podobných exemplárov nikto nezaoberá.","Gudgeon is the common name for a number of small freshwater fish of the families Butidae, Cyprinidae, Eleotridae or Ptereleotridae. Most gudgeons are elongate, bottom-dwelling fish, many of which live in rapids and other fast moving water.",https://www.youtube.com/watch?v=gCQJa_b_cCU
jalec_h,Jalec hlavatý,Chub,49.099057,21.098195,Torysa č.3 - Sabinov,"Jalec hlavatý je pôvodná a typická ryba našich riek, kde sa vyskytuje v prúdoch i v pokojnej vode nad hatiami. Postáva rád v okolí brehov, najmä pod previsnutými vetvami, ukrýva sa i na dne prúdov v ryhách a priehlbinách dna. Väčší jedinci sa zdržujú v tieni hlbších tôní, na členitých miestach plných úkrytov. V lete vyťahujú i do prudkých prúdov a pod hate. Sú spoločenský a tvoria rôzne početné húfy, ktoré sa zmenšujú s tým, ako rastie veľkosť ich členov. Najväčšie kusy trávia väčšinu roku ako samotári.","It is a stocky fish with a large rounded head. Its body is long and cylindrical in shape and is covered in large greenish-brown scales which are edged with narrow bands of black across the back, paling to golden on the flanks and even paler on the belly. The tail is dark brown or black, the dorsal fin is a greyish-green in colour and all the other fins being are orange-red. The dorsal fin has 3 spines and 7-9 soft rays while the anal fin has 3 spines and 7-10 rays. The vertebrae count is 42-48. It can grow to 60 cm standard length but most fish are around 30 cm.",https://www.youtube.com/watch?v=K8SJPmeN4V8
jalec_m,Jalec maloústy,Common Dace,49.017093,21.233473,Torysa č.2 - Prešov,"Jalec maloústy je pravdupovediac jedna z najobyčajnejších rýb v našich vodách, ničím „nevybočuje z radu"" a dejinne je aj pomerne málo skúmaný. Jalec nie je vyhľadávaným rybárskym cieľom, no uloviť pekného jalca iste poteší každého rybára, obzvlášť muškárov, pre ktorých je veľmi zdatný protivník. Jedná sa o pôvodný druh, ktorý je rozšírený takmer po celej Európe. Spomendzi všetkých druhov jalcov, ktoré sa vyskytujú na našom území je jalec maloústy najmenší a najštíhlejší. Bežne ulovené jalce majú medzi 15- 25 cm, kapitálne úlovky majú dĺžku vyše 35 cm a hmotnosť temer 1 kg. Rast je pomalý u oboch pohlaví jalca, no samička sa dožíva o čosi dlhšie. Celková priemerná dĺžka života je okolo 10 rokov.",The common dace (Leuciscus leuciscus) is a species of freshwater and brackish water ray-finned fish from the family Cyprinidae which is native to Europe but which has been introduced to other parts of the world. It is a quarry species for coarse anglers.,https://www.youtube.com/watch?v=Y-ojpWPRyis
kapor,Kapor rybničný,Common Carp,49.144518,20.979643,Štrkoviská Rožkovany,"Kapor, tak ako mnoho iných tunajších rýb pochádza pôvodne z Ázie. Za jeho pravlasť sa pokladá oblasť Číny, Vietnamu, Čierneho a Kaspického mora. Od 13. Storočia sa začal rozširovať do Európy a dnes je ho možné nájsť takmer po celom svete. Kapor je v Austrálii je dokonca považovaný za plevelnú rybu. Dorastá do značných rozmerov, kapitálne úlovky majú okolo 30 kg. Jeho rast závisí samozrejme od množstva potravy a taktiež aj od teploty vody. V teplejších vodách kapor rastie aj dvakrát rýchlejšie. Zvyčajne sa dožíva okolo 20 rokov, výnimočne aj vyše 40.","The common carp or European carp (Cyprinus carpio) is a widespread freshwater fish of eutrophic waters in lakes and large rivers in Europe and Asia. The native wild populations are considered vulnerable to extinction by the International Union for Conservation of Nature (IUCN), but the species has also been domesticated and introduced (see aquaculture) into environments worldwide, and is often considered a destructive invasive species, being included in the list of the world's 100 worst invasive species. It gives its name to the carp family, Cyprinidae.",https://www.youtube.com/watch?v=-OZ61rYG0P8
karas,Karas striebristý,Crucian Carp,49.144518,20.979643,Štrkoviská Rožkovany,"Úplne na úvod článku o karasovi striebristom sa musíme zmieniť aj o karasovi obyčajnom ( zlatistom), aby nedošlo k zbytočným nedorozumeniam a koniec koncov je to celkom zaujímavé. Dnes ak sa povie karas, všetci zrejme máme na mysli karasa striebristého, no tento trend trvá iba posledných pár desaťročí. Na počiatku 70tych rokov bol u nás ešte pomerne zriedkavý, no koniec 70tych rokov veľmi dobre vystihuje výrok doc. Ivana Sedlára, že sa jedná o mimoriadne agresívnu rybu, ktorá sa premnožila vo všetkých povodiach od Uhu až po Moravu. Pôvod karasa striebristého nie je jasný, zrejme pochádza z ďalekého východu a u nás bol zaznamenaný od r. 1962 na Dunaji. Karas obyčajný je rybou pôvodnou, ktorej stavy sa príchodom jeho „bratranca"" výrazne redukovali resp. stále sa redukujú. Je to kvôli prispôsobivosti a spôsobu množenia karasa striebristého (viac info v ďalšom texte). Takto nevytláča len karasa obyčajného ale v podstate všetky kaprovité ryby.","The crucian carp (Carassius carassius) is a medium-sized member of the common carp family Cyprinidae. It occurs widely in northern European regions. The crucian carp is a widely distributed European species, its range spanning from England to Russia; it is found as far north as the Arctic Circle in the Scandinavian countries, and as far south as central France and the region of the Black Sea. Its habitat includes lakes, ponds, and slow-moving rivers. It has been established that the fish is native to England and not introduced.",https://www.youtube.com/watch?v=gQjew8EQYIE
lien,Lieň sliznatý,Tench,49.144518,20.979643,Štrkoviská Rožkovany,"Lieň sliznatý je síce nepôvodný druh v našich vodách, no napriek tomu je u nás rybou široko rozšírenou. Je to kvôli jeho prispôsobivosti a nenáročnosti. Zvyčajne dorastá do dĺžky okolo 50 cm a hmotnosti okolo 3 kg. Výnimočne môžeme uloviť aj liene väčšie než 60 cm. O lieňoch je známe, že rastú veľmi pomaly a to aj v prostredí bohatom na potravu. Lieň sliznatý je nenáročný na obsah kyslíka vo vode. S obľubou vyhľadáva úseky so slabým tokom, bahnitým dnom a preferuje plytké vody. Cíti sa v bezpečí medzi hustým porastom, tým pádom sa stáva často obeťou útoku šťuky. No má proti nej účinnú zbraň a tou je jeho nenápadnosť a spôsob života, kedy mnoho času trávi zahrabaný v bahne. Lieň vtedy upadá do akejsi letargie, takto trávi letné horúčavy a prežíva zimu.","The tench or doctor fish (Tinca tinca) is a fresh- and brackish-water fish of the order Cypriniformes found throughout Eurasia from Western Europe including the British Isles east into Asia as far as the Ob and Yenisei Rivers. It is also found in Lake Baikal. It normally inhabits slow-moving freshwater habitats, particularly lakes and lowland rivers.",https://www.youtube.com/watch?v=dlmb6yMuUiU
lipen,Lipeň tymiánový,Grayling,49.279074,20.863672,Poprad č.2 - Orlov,"Lipeň tymiánový zrejme patrí medzi pôvodné druhy na našom území, je rozšírený pomerne rozsiahle, i keď dosť nepravidelne. Nájdeme ho najmä v strednej, západnej a východnej Európe. Na juhu Európy sa Lipeň nevyskytuje. Zaujímavé je, že v Škandinávii a v Rusku sa nachádza aj v jazerách, neresí sa však len v riekach. Lipeň tymiánový dosahuje veľkosť zvyčajne najviac 50 cm a hmotnosť 1- 1,5 kg.","Thymallus thymallus, the grayling or European grayling, is a species of freshwater fish in the salmon family Salmonidae. It is the only species of the genus Thymallus (the graylings) native to Europe, where it is widespread from the United Kingdom and France to the Ural Mountains in Russia, but does not occur in the southern parts of the continent. It was introduced to Morocco in 1948, but it does not appear to have become established there.",https://www.youtube.com/watch?v=qpcUTFXg9iY
mien,Mieň sladkovodný,Burbot,48.884295,21.005375,VN Ružín,"Mieň sladkovodný je u nás nie príliš známym druhom, no beztak je rybou veľmi zaujímavou a podstatne odlišnou od ostatných tunajších rýb. Uvádzame preto o čosi dlhší článok a zároveň Vám prajeme príjemné čítanie. Mieň sladkovodný je ryba široko rozšírená takmer po celom svete. Najlepšie sa mu darí v miernom pásme severnej pologule a smerom na juh jeho početnosť klesá.","The burbot (Lota lota) is the only gadiform (cod-like) freshwater fish. It is also known as bubbot, mariah, freshwater cod, freshwater ling, freshwater cusk, the lawyer, coney-fish, lingcod, and eelpout. The species is closely related to the marine common ling and the cusk. It is the only member of the genus Lota. For some time of the year, the burbot lives under ice, and it requires frigid temperatures to breed.",https://www.youtube.com/watch?v=QFoq3BWHR18
